what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1508499558967
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1508499559046
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1508499559232
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1508499559370
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1508499559595
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1508499559629
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1508499561785
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1508499561888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499636148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1508499636164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1508499636164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499639055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499729601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1508499729617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1508499729617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499736711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499919367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499919789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499921211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499922148
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508499922367
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1508499924180
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1508499924305
